season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1989,"Portland Trail Blazers",82,3572,7322,198,546,1933,2504,1151,2391,3542,2073,738,358,1569,1960,9275
1989,"Los Angeles Clippers",82,3747,7738,197,576,1834,2400,1342,2550,3892,2384,933,551,1440,1882,9525
1989,"Denver Nuggets",82,3701,7484,157,446,1977,2683,1136,2864,4000,2136,665,485,1597,2001,9536
1989,"Golden State Warriors",82,3693,8000,281,821,1916,2501,1437,2639,4076,2215,861,485,1554,1935,9583
1990,"Detroit Pistons",82,3043,6809,186,558,1785,2342,1040,2281,3321,1764,606,304,1248,2072,8057
1990,"Minnesota Timberwolves",82,3081,6391,129,391,1859,2420,1050,2322,3372,1880,578,489,1366,1748,8150
1990,"Utah Jazz",82,3164,6949,174,563,1865,2452,1100,2210,3310,1885,736,452,1241,1910,8367
1990,"Dallas Mavericks",82,3288,7013,175,587,1627,2161,1142,2398,3540,1961,649,388,1236,1832,8378
1990,"San Antonio Spurs",82,3269,7090,231,624,1663,2169,1125,2241,3366,1967,760,416,1420,1919,8432
1990,"Cleveland Cavaliers",82,3418,7135,156,500,1444,1898,1134,2451,3585,2137,680,379,1294,1893,8436
